epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7566,2.3491,5.06105,1.78654,0,0,0,0,0,0,0,0.000544981,0.000544981,0.000544981
2,22.3608,1.91039,2.3589,1.46755,0,0,0,0,0,0,0,0.00107885,0.00107885,0.00107885
3,31.7678,1.81455,1.55816,1.46508,0,0,0,0,0,0,0,0.00159072,0.00159072,0.00159072
4,40.7542,1.7382,1.30963,1.40154,0,0,0,0,0,0,0,0.00156798,0.00156798,0.00156798
5,50.6072,1.75419,1.23521,1.43976,0,0,0,0,0,0,0,0.00153497,0.00153497,0.00153497
6,58.347,1.76046,1.13506,1.41622,0,0,0,0,0,0,0,0.00150197,0.00150197,0.00150197
7,65.8219,1.71972,1.03866,1.41863,0,0,0,0,0,0,0,0.00146896,0.00146896,0.00146896
8,73.3924,1.68682,0.98625,1.38747,0,0,0,0,0,0,0,0.00143595,0.00143595,0.00143595
9,80.8268,1.69544,0.95542,1.39145,0,0,0,0,0,0,0,0.00140295,0.00140295,0.00140295
10,88.2349,1.66461,0.92714,1.37068,0,0,0,0,0,0,0,0.00136994,0.00136994,0.00136994
11,95.7507,1.65945,0.89349,1.38836,0,0,0,0,0,0,0,0.00133693,0.00133693,0.00133693
12,103.05,1.63971,0.87922,1.35727,0,0,0,0,0,0,0,0.00130393,0.00130393,0.00130393
13,110.285,1.61143,0.85504,1.34171,0,0,0,0,0,0,0,0.00127092,0.00127092,0.00127092
14,117.684,1.61247,0.84409,1.34903,0,0,0,0,0,0,0,0.00123791,0.00123791,0.00123791
15,125.219,1.64881,0.81484,1.36928,0,0,0,0,0,0,0,0.00120491,0.00120491,0.00120491
16,133.559,1.60492,0.82639,1.34043,0,0,0,0,0,0,0,0.0011719,0.0011719,0.0011719
17,146.152,1.58371,0.78924,1.32423,0,0,0,0,0,0,0,0.00113889,0.00113889,0.00113889
