epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0614,2.18474,5.3735,1.80586,0,0,0,0,0,0,0,0.000544981,0.000544981,0.000544981
2,17.8432,1.89563,2.47967,1.53653,0,0,0,0,0,0,0,0.00107885,0.00107885,0.00107885
3,25.3018,1.75825,1.62962,1.58772,0,0,0,0,0,0,0,0.00159072,0.00159072,0.00159072
4,32.8485,1.74255,1.40005,1.57333,0,0,0,0,0,0,0,0.00156798,0.00156798,0.00156798
5,40.1632,1.72952,1.23557,1.5488,0,0,0,0,0,0,0,0.00153497,0.00153497,0.00153497
6,47.4905,1.70121,1.1453,1.52757,0,0,0,0,0,0,0,0.00150197,0.00150197,0.00150197
7,55.1629,1.68498,1.04619,1.5289,0,0,0,0,0,0,0,0.00146896,0.00146896,0.00146896
8,64.2858,1.64724,0.98356,1.50314,0,0,0,0,0,0,0,0.00143595,0.00143595,0.00143595
9,73.5381,1.62152,0.9294,1.47956,0,0,0,0,0,0,0,0.00140295,0.00140295,0.00140295
10,81.3545,1.64465,0.89766,1.49085,0,0,0,0,0,0,0,0.00136994,0.00136994,0.00136994
11,89.8188,1.61177,0.86748,1.47274,0,0,0,0,0,0,0,0.00133693,0.00133693,0.00133693
12,97.2081,1.632,0.86316,1.48612,0,0,0,0,0,0,0,0.00130393,0.00130393,0.00130393
13,104.677,1.60698,0.80985,1.46759,0,0,0,0,0,0,0,0.00127092,0.00127092,0.00127092
14,112.047,1.62067,0.79068,1.4686,0,0,0,0,0,0,0,0.00123791,0.00123791,0.00123791
15,120.089,1.57997,0.78803,1.46744,0,0,0,0,0,0,0,0.00120491,0.00120491,0.00120491
16,129.331,1.55889,0.76818,1.44521,0,0,0,0,0,0,0,0.0011719,0.0011719,0.0011719
17,138.782,1.59427,0.75948,1.48928,0,0,0,0,0,0,0,0.00113889,0.00113889,0.00113889
18,147.542,1.56497,0.73221,1.42527,0,0,0,0,0,0,0,0.00110589,0.00110589,0.00110589
19,155.423,1.55902,0.72386,1.43497,0,0,0,0,0,0,0,0.00107288,0.00107288,0.00107288
20,164.643,1.53185,0.70123,1.41886,0,0,0,0,0,0,0,0.00103987,0.00103987,0.00103987
21,172.923,1.56124,0.70246,1.43295,0,0,0,0,0,0,0,0.00100687,0.00100687,0.00100687
22,180.904,1.48207,0.68043,1.40725,0,0,0,0,0,0,0,0.000973861,0.000973861,0.000973861
23,188.277,1.51867,0.66837,1.41841,0,0,0,0,0,0,0,0.000940855,0.000940855,0.000940855
24,195.722,1.51469,0.65309,1.41624,0,0,0,0,0,0,0,0.000907848,0.000907848,0.000907848
25,203.464,1.52739,0.66189,1.42201,0,0,0,0,0,0,0,0.000874842,0.000874842,0.000874842
26,211.076,1.49929,0.64378,1.39944,0,0,0,0,0,0,0,0.000841835,0.000841835,0.000841835
27,219.186,1.47028,0.62962,1.39372,0,0,0,0,0,0,0,0.000808828,0.000808828,0.000808828
28,226.671,1.45404,0.61637,1.37352,0,0,0,0,0,0,0,0.000775822,0.000775822,0.000775822
29,234.93,1.44719,0.60425,1.35674,0,0,0,0,0,0,0,0.000742815,0.000742815,0.000742815
30,243.702,1.452,0.61045,1.35722,0,0,0,0,0,0,0,0.000709809,0.000709809,0.000709809
31,252.519,1.44113,0.59146,1.35589,0,0,0,0,0,0,0,0.000676802,0.000676802,0.000676802
32,261.418,1.4439,0.58967,1.35753,0,0,0,0,0,0,0,0.000643795,0.000643795,0.000643795
33,269.109,1.44276,0.59908,1.36913,0,0,0,0,0,0,0,0.000610789,0.000610789,0.000610789
34,276.617,1.4074,0.59214,1.34772,0,0,0,0,0,0,0,0.000577782,0.000577782,0.000577782
35,284.145,1.40195,0.57862,1.33926,0,0,0,0,0,0,0,0.000544776,0.000544776,0.000544776
36,291.848,1.40582,0.56312,1.32719,0,0,0,0,0,0,0,0.000511769,0.000511769,0.000511769
37,299.441,1.38524,0.55736,1.33398,0,0,0,0,0,0,0,0.000478762,0.000478762,0.000478762
38,307.288,1.38237,0.56644,1.32633,0,0,0,0,0,0,0,0.000445756,0.000445756,0.000445756
39,314.938,1.37249,0.54812,1.31769,0,0,0,0,0,0,0,0.000412749,0.000412749,0.000412749
40,324.521,1.36318,0.55475,1.32368,0,0,0,0,0,0,0,0.000379743,0.000379743,0.000379743
