epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4639,2.3491,5.06105,1.78654,0,0,0,0,0,0,0,0.000544981,0.000544981,0.000544981
2,18.1057,1.91039,2.3589,1.46755,0,0,0,0,0,0,0,0.00107885,0.00107885,0.00107885
3,25.4617,1.81455,1.55816,1.46508,0,0,0,0,0,0,0,0.00159072,0.00159072,0.00159072
4,32.776,1.7382,1.30963,1.40154,0,0,0,0,0,0,0,0.00156798,0.00156798,0.00156798
5,40.1805,1.75419,1.23521,1.43976,0,0,0,0,0,0,0,0.00153497,0.00153497,0.00153497
6,47.5527,1.76046,1.13506,1.41622,0,0,0,0,0,0,0,0.00150197,0.00150197,0.00150197
7,55.0457,1.71972,1.03866,1.41863,0,0,0,0,0,0,0,0.00146896,0.00146896,0.00146896
8,62.5889,1.68682,0.98625,1.38747,0,0,0,0,0,0,0,0.00143595,0.00143595,0.00143595
9,71.3134,1.69544,0.95542,1.39145,0,0,0,0,0,0,0,0.00140295,0.00140295,0.00140295
10,80.1344,1.66461,0.92714,1.37068,0,0,0,0,0,0,0,0.00136994,0.00136994,0.00136994
11,87.6816,1.65945,0.89349,1.38836,0,0,0,0,0,0,0,0.00133693,0.00133693,0.00133693
12,95.7845,1.63971,0.87922,1.35727,0,0,0,0,0,0,0,0.00130393,0.00130393,0.00130393
13,105.65,1.61143,0.85504,1.34171,0,0,0,0,0,0,0,0.00127092,0.00127092,0.00127092
14,113.692,1.61247,0.84409,1.34903,0,0,0,0,0,0,0,0.00123791,0.00123791,0.00123791
