epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.94611,3.57655,3.43405,3.73371,0,0,0,0,4.62902,4.31686,5.48696,0,0,0
2,2.47226,3.75171,3.49111,4.03934,0,0,0,0,4.63248,4.30509,5.4915,1.9604e-05,1.9604e-05,1.9604e-05
3,2.93826,4.1862,3.67649,4.76259,0,0,0,0,4.63261,4.28476,5.4987,3.8416e-05,3.8416e-05,3.8416e-05
4,3.37614,4.0297,3.32096,4.02701,0,0,0,0,4.63112,4.29682,5.50136,5.6436e-05,5.6436e-05,5.6436e-05
5,3.92784,4.12568,3.7991,4.55181,0,0,0,0,4.49225,4.12257,5.34881,7.3664e-05,7.3664e-05,7.3664e-05
6,4.55161,3.72548,3.31437,3.63661,0,0,0,0,4.34193,3.96722,5.13753,9.01e-05,9.01e-05,9.01e-05
7,5.21079,4.05956,3.43547,4.3314,0,0,0,0,4.14943,3.78145,4.91062,0.000105744,0.000105744,0.000105744
8,5.87014,3.78226,3.699,4.06343,0,0,0,0,3.94022,3.58863,4.69137,0.000120596,0.000120596,0.000120596
9,6.50387,3.39863,3.36326,3.54439,0,0,0,0,3.76868,3.46682,4.49073,0.000134656,0.000134656,0.000134656
10,7.1184,3.85669,3.1606,4.06139,0.00167,0.5,0.00175,0.00034,3.59736,3.36413,4.29384,0.000147924,0.000147924,0.000147924
11,7.74569,3.33281,3.26162,3.50643,0.00167,0.5,0.00358,0.00099,3.46733,3.28515,4.10257,0.0001604,0.0001604,0.0001604
12,8.3558,3.35427,3.07861,3.44227,0.00167,0.5,0.01639,0.00414,3.35917,3.25955,3.94586,0.000172084,0.000172084,0.000172084
13,9.00078,3.47238,3.07168,3.6782,0.00333,1,0.398,0.04814,3.27696,3.27467,3.84313,0.000182976,0.000182976,0.000182976
14,9.641,3.93741,3.10633,4.03577,0.00333,1,0.14917,0.0214,3.16295,3.23958,3.73115,0.000193076,0.000193076,0.000193076
15,10.2771,3.35489,3.089,3.53378,0.00333,1,0.398,0.08377,3.10057,3.24013,3.63695,0.000202384,0.000202384,0.000202384
16,10.9467,3.37913,2.89932,3.49803,0.00333,1,0.398,0.08459,3.11967,3.20115,3.62703,0.0002109,0.0002109,0.0002109
17,11.574,2.89187,2.76617,3.04216,0.00333,1,0.66333,0.10613,3.1644,3.139,3.64358,0.000218624,0.000218624,0.000218624
18,12.1378,3.49314,2.9014,3.52742,0.00333,1,0.66333,0.10613,3.1644,3.139,3.64358,0.000225556,0.000225556,0.000225556
19,12.7735,3.17264,2.71595,3.02818,0.00333,1,0.25591,0.03013,3.30725,3.1009,3.705,0.000231696,0.000231696,0.000231696
20,13.3611,3.05811,2.74921,3.1592,0.00333,1,0.25591,0.03013,3.30725,3.1009,3.705,0.000237044,0.000237044,0.000237044
21,13.9757,2.73267,2.72879,3.02241,0.00333,1,0.27611,0.03315,3.46918,3.13757,3.72399,0.0002416,0.0002416,0.0002416
22,14.5591,2.8073,2.69692,2.98459,0.00333,1,0.27611,0.03315,3.46918,3.13757,3.72399,0.000245364,0.000245364,0.000245364
23,15.1923,3.07704,2.80711,3.16716,0.00167,0.5,0.05542,0.00554,3.84566,3.26019,3.84414,0.000248336,0.000248336,0.000248336
24,15.7728,3.27219,2.90825,3.47295,0.00167,0.5,0.05542,0.00554,3.84566,3.26019,3.84414,0.000250516,0.000250516,0.000250516
25,16.417,3.2769,2.73644,3.20576,0,0,0,0,4.16695,3.39861,3.97329,0.000251904,0.000251904,0.000251904
26,16.9729,3.07878,2.69818,3.10405,0,0,0,0,4.16695,3.39861,3.97329,0.0002525,0.0002525,0.0002525
27,17.578,2.93058,2.56213,3.10292,0,0,0,0,4.33078,3.44695,4.0548,0.000252304,0.000252304,0.000252304
28,18.2649,2.63714,2.46311,3.04109,0,0,0,0,4.33078,3.44695,4.0548,0.000251316,0.000251316,0.000251316
29,19.0037,2.88831,2.65184,2.92319,0,0,0,0,4.51008,3.53604,4.16794,0.000249536,0.000249536,0.000249536
30,19.7653,3.22238,2.69404,3.37623,0,0,0,0,4.51008,3.53604,4.16794,0.000246964,0.000246964,0.000246964
31,20.4362,2.52687,2.39552,2.91137,0,0,0,0,4.68914,3.65459,4.27381,0.0002436,0.0002436,0.0002436
32,21.0132,2.88933,2.55836,3.20024,0,0,0,0,4.68914,3.65459,4.27381,0.000239444,0.000239444,0.000239444
33,21.6434,2.91359,2.49345,2.94126,0,0,0,0,4.66594,3.66964,4.25611,0.000234496,0.000234496,0.000234496
34,22.23,2.51936,2.53501,2.74302,0,0,0,0,4.66594,3.66964,4.25611,0.000228756,0.000228756,0.000228756
35,22.8565,2.9992,2.70198,3.2951,0,0,0,0,4.57374,3.63891,4.20471,0.000222224,0.000222224,0.000222224
36,23.3722,3.24278,2.54929,3.59021,0,0,0,0,4.57374,3.63891,4.20471,0.0002149,0.0002149,0.0002149
37,24.0092,2.67003,2.5111,2.8179,0,0,0,0,4.58279,3.68651,4.19943,0.000206784,0.000206784,0.000206784
38,24.5505,2.58913,2.59842,3.01838,0,0,0,0,4.58279,3.68651,4.19943,0.000197876,0.000197876,0.000197876
39,25.1675,2.44182,2.53182,2.93615,0,0,0,0,4.59897,3.74304,4.17417,0.000188176,0.000188176,0.000188176
40,25.7399,2.67513,2.27194,3.08275,0,0,0,0,4.59897,3.74304,4.17417,0.000177684,0.000177684,0.000177684
41,45.1232,2.26551,3.23393,2.86539,0,0,0,0,4.60179,3.76329,4.16313,0.0001664,0.0001664,0.0001664
42,45.7577,1.9564,2.86649,2.86211,0,0,0,0,4.60179,3.76329,4.16313,0.000154324,0.000154324,0.000154324
43,46.4592,2.2083,2.81983,3.11114,0,0,0,0,4.43734,3.63996,4.06033,0.000141456,0.000141456,0.000141456
44,47.1228,2.31161,3.22009,3.21471,0,0,0,0,4.43734,3.63996,4.06033,0.000127796,0.000127796,0.000127796
45,47.8042,2.54549,2.82967,3.43917,0,0,0,0,4.37052,3.62831,4.02503,0.000113344,0.000113344,0.000113344
46,48.4668,2.15784,2.87146,2.87395,0,0,0,0,4.37052,3.62831,4.02503,9.81e-05,9.81e-05,9.81e-05
47,49.1509,1.72154,2.85467,2.73548,0,0,0,0,4.27478,3.63437,3.9554,8.2064e-05,8.2064e-05,8.2064e-05
48,49.8037,2.57439,2.92834,3.45397,0,0,0,0,4.27478,3.63437,3.9554,6.5236e-05,6.5236e-05,6.5236e-05
49,50.517,2.45223,2.71575,3.44324,0,0,0,0,4.18964,3.66568,3.90518,4.7616e-05,4.7616e-05,4.7616e-05
50,51.15,2.79914,2.83758,3.53473,0,0,0,0,4.18964,3.66568,3.90518,2.9204e-05,2.9204e-05,2.9204e-05
