epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7495,1.46893,1.55061,1.34964,0.96866,0.44202,0.46936,0.2901,1.45475,0.85777,1.46287,0.000553886,0.000553886,0.000553886
2,103.412,1.40172,0.9197,1.32544,0.95786,0.3568,0.43153,0.26863,1.45288,1.34068,1.4706,0.00110223,0.00110223,0.00110223
3,157.238,1.35864,0.85658,1.30135,0.93563,0.45008,0.47147,0.2908,1.33306,0.76401,1.39182,0.00164324,0.00164324,0.00164324
4,206.606,1.31408,0.78521,1.26933,0.97523,0.46141,0.48275,0.31741,1.24916,0.66477,1.33069,0.00163399,0.00163399,0.00163399
5,256.018,1.27088,0.74823,1.24916,0.98295,0.46503,0.58885,0.37595,1.24412,0.59226,1.32789,0.00162299,0.00162299,0.00162299
6,309.287,1.28239,0.72468,1.24339,0.90504,0.48851,0.57366,0.36626,1.26266,0.6083,1.33045,0.00161199,0.00161199,0.00161199
7,363.038,1.25735,0.68951,1.22577,0.68248,0.80258,0.69289,0.38118,1.2372,0.5732,1.31743,0.00160099,0.00160099,0.00160099
8,418.583,1.24264,0.70186,1.23135,0.97885,0.47619,0.55123,0.36359,1.23064,0.57427,1.31243,0.00158998,0.00158998,0.00158998
9,470.141,1.21996,0.67669,1.21275,0.64631,0.65883,0.68204,0.39259,1.27343,0.57478,1.3412,0.00157898,0.00157898,0.00157898
