epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2624,1.58557,0.81338,1.33316,0,0,0,0,0,0,0,0.000544981,0.000544981,0.000544981
2,18.1242,1.60097,0.81413,1.35176,0,0,0,0,0,0,0,0.00107885,0.00107885,0.00107885
3,26.0564,1.57403,0.78551,1.32072,0,0,0,0,0,0,0,0.00159072,0.00159072,0.00159072
4,33.8918,1.56914,0.74976,1.30473,0,0,0,0,0,0,0,0.00156798,0.00156798,0.00156798
5,41.2119,1.58304,0.78166,1.34402,0,0,0,0,0,0,0,0.00153497,0.00153497,0.00153497
6,48.5425,1.5892,0.7732,1.33689,0,0,0,0,0,0,0,0.00150197,0.00150197,0.00150197
7,55.7718,1.53832,0.72324,1.32043,0,0,0,0,0,0,0,0.00146896,0.00146896,0.00146896
8,62.931,1.51938,0.71439,1.29841,0,0,0,0,0,0,0,0.00143595,0.00143595,0.00143595
9,70.0612,1.53732,0.71205,1.30888,0,0,0,0,0,0,0,0.00140295,0.00140295,0.00140295
10,77.2362,1.51915,0.71432,1.29695,0,0,0,0,0,0,0,0.00136994,0.00136994,0.00136994
11,84.3527,1.51037,0.71571,1.30699,0,0,0,0,0,0,0,0.00133693,0.00133693,0.00133693
12,91.4599,1.51506,0.70509,1.29147,0,0,0,0,0,0,0,0.00130393,0.00130393,0.00130393
13,98.7951,1.47488,0.67929,1.27295,0,0,0,0,0,0,0,0.00127092,0.00127092,0.00127092
14,106.228,1.49127,0.70463,1.2821,0,0,0,0,0,0,0,0.00123791,0.00123791,0.00123791
15,113.507,1.54599,0.69411,1.3102,0,0,0,0,0,0,0,0.00120491,0.00120491,0.00120491
16,120.872,1.50588,0.68683,1.28887,0,0,0,0,0,0,0,0.0011719,0.0011719,0.0011719
17,128.249,1.50173,0.68438,1.27461,0,0,0,0,0,0,0,0.00113889,0.00113889,0.00113889
18,135.706,1.47257,0.68615,1.27809,0,0,0,0,0,0,0,0.00110589,0.00110589,0.00110589
19,142.987,1.45975,0.67574,1.25946,0,0,0,0,0,0,0,0.00107288,0.00107288,0.00107288
20,150.38,1.4547,0.65615,1.26409,0,0,0,0,0,0,0,0.00103987,0.00103987,0.00103987
21,157.877,1.47882,0.64795,1.25768,0,0,0,0,0,0,0,0.00100687,0.00100687,0.00100687
22,165.428,1.45156,0.64446,1.25695,0,0,0,0,0,0,0,0.000973861,0.000973861,0.000973861
23,173.041,1.45613,0.65325,1.27398,0,0,0,0,0,0,0,0.000940855,0.000940855,0.000940855
24,180.341,1.45486,0.62426,1.276,0,0,0,0,0,0,0,0.000907848,0.000907848,0.000907848
25,187.523,1.424,0.61986,1.25288,0,0,0,0,0,0,0,0.000874842,0.000874842,0.000874842
26,194.779,1.44063,0.62816,1.26899,0,0,0,0,0,0,0,0.000841835,0.000841835,0.000841835
27,202.009,1.38438,0.63251,1.24005,0,0,0,0,0,0,0,0.000808828,0.000808828,0.000808828
28,209.191,1.41172,0.63578,1.26453,0,0,0,0,0,0,0,0.000775822,0.000775822,0.000775822
29,216.425,1.4232,0.62432,1.24573,0,0,0,0,0,0,0,0.000742815,0.000742815,0.000742815
30,223.796,1.41048,0.61351,1.23868,0,0,0,0,0,0,0,0.000709809,0.000709809,0.000709809
31,231.481,1.38085,0.5993,1.23395,0,0,0,0,0,0,0,0.000676802,0.000676802,0.000676802
32,239.056,1.38967,0.60433,1.23647,0,0,0,0,0,0,0,0.000643795,0.000643795,0.000643795
33,246.472,1.37882,0.60444,1.22709,0,0,0,0,0,0,0,0.000610789,0.000610789,0.000610789
34,253.787,1.30339,0.57383,1.20622,0,0,0,0,0,0,0,0.000577782,0.000577782,0.000577782
35,261.006,1.4142,0.58786,1.22894,0,0,0,0,0,0,0,0.000544776,0.000544776,0.000544776
36,268.282,1.34891,0.57501,1.19925,0,0,0,0,0,0,0,0.000511769,0.000511769,0.000511769
37,275.95,1.34423,0.57904,1.22387,0,0,0,0,0,0,0,0.000478762,0.000478762,0.000478762
38,284.053,1.32884,0.56638,1.19709,0,0,0,0,0,0,0,0.000445756,0.000445756,0.000445756
39,291.836,1.30845,0.55825,1.20486,0,0,0,0,0,0,0,0.000412749,0.000412749,0.000412749
40,299.331,1.29143,0.562,1.18766,0,0,0,0,0,0,0,0.000379743,0.000379743,0.000379743
41,328.687,1.30041,0.52497,1.29094,0,0,0,0,0,0,0,0.000346736,0.000346736,0.000346736
42,336.116,1.28724,0.51524,1.28813,0,0,0,0,0,0,0,0.000313729,0.000313729,0.000313729
43,343.423,1.29039,0.50264,1.25406,0,0,0,0,0,0,0,0.000280723,0.000280723,0.000280723
